District,District (sri lankan districts provinces lat long population.csv),District.,Month,Province (sri lankan districts provinces lat long population.csv),Year,F1,Latitude (sri lankan districts provinces lat long population.csv),Longitude (sri lankan districts provinces lat long population.csv),No of complaints,Population
Ampara,Ampara,Ampara,,Eastern,2017-01-01,0,7.2914,81.6728,208,649402
Anuradhapura,Anuradhapura,Anuradhapura,,North Central,2017-01-01,1,8.335,80.4037,441,860575
Badulla,Badulla,Badulla,,Uva,2017-01-01,2,6.9934,81.055,198,815405
Batticaloa,Batticaloa,Batticaloa,,Eastern,2017-01-01,3,7.717,81.7056,179,526567
Colombo,Colombo,Colombo,,Western,2017-01-01,4,6.9271,79.8612,1302,2324344
Galle,Galle,Galle,,Southern,2017-01-01,5,6.0535,80.217,586,1024889
Gampaha,Gampaha,Gampaha,,Western,2017-01-01,6,7.084,79.8931,974,2290058
Hambanthota,Hambanthota,Hambanthota,,Southern,2017-01-01,7,6.1241,81.1185,310,594335
Jaffna,Jaffna,Jaffna,,Northern,2017-01-01,8,9.6615,80.0074,188,583378
Kalutara,Kalutara,Kalutara,,Western,2017-01-01,9,6.5854,79.9166,591,1221759
Kandy,Kandy,Kandy,,Central,2017-01-01,10,7.2906,80.6337,382,1374775
Kegalle,Kegalle,Kegalle,,Sabaragamuwa,2017-01-01,11,7.2513,80.3464,286,840648
Kilinochchi,Kilinochchi,Kilinochchi,,Northern,2017-01-01,12,9.3842,80.402,126,113510
Kurunegala,Kurunegala,Kurunegala,,North Western,2017-01-01,13,7.4863,80.0148,681,1618463
Mannar,Mannar,Mannar,,Northern,2017-01-01,14,8.981,79.9133,69,99548
Matale,Matale,Matale,,Central,2017-01-01,15,7.4675,80.6234,200,484531
Matara,Matara,Matara,,Southern,2017-01-01,16,5.9549,80.5353,316,809959
Monaragala,Monaragala,Monaragala,,Uva,2017-01-01,17,6.8906,81.2152,226,451058
Mullaitivu,Mullaitivu,Mullaitivu,,Northern,2017-01-01,18,9.2671,80.8061,132,92038
Nuwara Eliya,Nuwara Eliya,Nuwara Eliya,,Central,2017-01-01,19,6.9708,80.7671,184,711644
Polonnaruwa,Polonnaruwa,Polonnaruwa,,North Central,2017-01-01,20,7.9403,81.0002,245,403068
Puttalam,Puttalam,Puttalam,,North Western,2017-01-01,21,8.0983,79.8283,403,762396
Ratnapura,Ratnapura,Ratnapura,,Sabaragamuwa,2017-01-01,22,6.6828,80.4,518,1096957
Trincomalee,Trincomalee,Trincomalee,,Eastern,2017-01-01,23,8.5874,81.2335,138,379541
Vavuniya,Vavuniya,Vavuniya,,Northern,2017-01-01,24,8.7519,80.5007,131,167591
Total,,Total,,,2017-01-01,25,,,9014,
Ampara,Ampara,Ampara,,Eastern,2018-01-01,26,7.2914,81.6728,229,649402
Anuradhapura,Anuradhapura,Anuradhapura,,North Central,2018-01-01,27,8.335,80.4037,434,860575
Badulla,Badulla,Badulla,,Uva,2018-01-01,28,6.9934,81.055,237,815405
