Year,Month,Type of abuse,No of complaints
2017,,14 - ACO: Restriction on Payment,1.0
2017,,286A - Obscene Publications,8.0
2017,,288 - Procuring to Beg,312.0
2017,,288B - Trafficking Restricted Articles/Drugs,28.0
2017,,308A - Cruelty to Children,2144.0
2017,,345 - Sexual Harassment,501.0
2017,,352 - Kidnapping from Lawful Guardianship,145.0
2017,,353 - Abduction,42.0
2017,,360C - Trafficking,116.0
2017,,360E - Soliciting a Child,10.0
2017,,363 - Rape,340.0
2017,,364A - Incest,1.0
2017,,365 - Unnatural Offence,1.0
2017,,365A - Gross Indecency,5.0
2017,,365B - Grave Sexual Abuse,309.0
2017,,"71 - CYPO: Neglect of Children, Cruelty",390.0
2017,,76 - CYPO: Sale of Tobacco to Person Under 16 Years,3.0
2017,,Child Labor,269.0
2017,,Compulsory Education,1324.0
2017,,Domestic Violence,80.0
2017,,Juvenile Delinquency,492.0
2017,,Miscellaneous,2493.0
2017,,Total,9014.0
2018,,27A - ACO: Unlawful Custody,2.0
2018,,286A - Obscene Publications,15.0
2018,,288 - Procuring to Beg,315.0
2018,,288B - Trafficking Restricted Articles/Drugs,40.0
2018,,308 - Exposure and Abandonment,3.0
2018,,308A - Cruelty to Children,2413.0
2018,,345 - Sexual Harassment,555.0
2018,,352 - Kidnapping from Lawful Guardianship,120.0
2018,,353 - Abduction,45.0
2018,,360B - Sexual Exploitation of Children,4.0
2018,,360C - Trafficking,125.0
2018,,360E - Soliciting a Child,15.0
2018,,363 - Rape,311.0
2018,,364A - Incest,1.0
2018,,365 - Unnatural Offence,1.0
2018,,365A - Gross Indecency,7.0
2018,,365B - Grave Sexual Abuse,375.0
2018,,"71 - CYPO: Neglect of Children, Cruelty",536.0
2018,,Child Labor,262.0
2018,,Compulsory Education,1267.0
2018,,Domestic Violence,104.0
2018,,Juvenile Delinquency,374.0
2018,,Miscellaneous,2622.0
2018,,Total,9512.0
2019,,14 - ACO: Restriction on Payment,1.0
2019,,27A - ACO: Unlawful Custody,4.0
2019,,286A - Obscene Publications,23.0
2019,,288 - Procuring to Beg,299.0
2019,,288B - Trafficking Restricted Articles/Drugs,29.0
2019,,308 - Exposure and Abandonment,2.0
2019,,308A - Cruelty to Children,2342.0
2019,,345 - Sexual Harassment,594.0
2019,,35 - CYPO: Child or Young Person in Need of Care & Protection,7.0
2019,,352 - Kidnapping from Lawful Guardianship,109.0
2019,,353 - Abduction,44.0
2019,,360B - Sexual Exploitation of Children,4.0
2019,,360C - Trafficking,119.0
2019,,360E - Soliciting a Child,14.0
2019,,363 - Rape,294.0
2019,,364A - Incest,1.0
2019,,365 - Unnatural Offence,1.0
2019,,365A - Gross Indecency,1.0
2019,,365B - Grave Sexual Abuse,288.0
2019,,"71 - CYPO: Neglect of Children, Cruelty",906.0
2019,,76 - CYPO: Sale of Tobacco to Person Under 16 Years,1.0
2019,,Child Labor,265.0
2019,,Compulsory Education,1290.0
2019,,Domestic Violence,79.0
2019,,Juvenile Delinquency,337.0
2019,,Miscellaneous,1505.0
2019,,Total,8558.0
2020,,Miscellaneous,2580.0
2020,,308A - Cruelty to Children,2237.0
2020,,Compulsory Education,643.0
2020,,345 - Sexual Harassment,518.0
2020,,Children and Young Person Ordinance-Neglect of Children,466.0
2020,,365B - Grave Sexual Abuse,373.0
2020,,Juvenile Delinquency,270.0
2020,,363 - Rape,256.0
2020,,Child Labor,228.0
2020,,288 - Procuring to Beg,200.0
2020,,352 - Kidnapping from Lawful Guardianship,97.0
2020,,360C - Trafficking,82.0
2020,,353 - Abduction,71.0
2020,,Domestic Violence,50.0
2020,,288B - Trafficking Restricted Articles/Drugs,44.0
2020,,286A - Obscene Publications,39.0
2020,,360E - Soliciting a Child,7.0
2020,,364A - Incest,2.0
2020,,365 - Unnatural Offence,2.0
2020,,Total,8165.0
2021,,286A - Obscene Publications,10.0
2021,,288 - Procuring to Beg,240.0
2021,,360B - Sexual Exploitation of Children,8.0
2021,,288B - Trafficking Restricted Articles/Drugs,44.0
2021,,308A - Cruelty to Children,2741.0
2021,,345 - Sexual Harassment,947.0
2021,,,
2021,,352 - Kidnapping from Lawful Guardianship,99.0
2021,,,
2021,,353 - Abduction,354.0
2021,,,
2021,,360C - Trafficking,124.0
2021,,,
2021,,363 - Rape,123.0
2021,,,
2021,,364A - Incest,8.0
2021,,,
2021,,365B - Grave Sexual Abuse,246.0
2021,,,
2021,,"71 - CYPO: Neglect of Children, Cruelty",1535.0
2021,,,
2021,,Child Labor,375.0
2021,,,
2021,,Compulsory Education,541.0
2021,,,
2021,,Domestic Violence,97.0
2021,,,
2021,,Juvenile Delinquency,263.0
2021,,,
2021,,,
2021,,Miscellaneous,3432.0
2021,,Total,11187.0
2022,,286A - Obscene Publications,7.0
2022,,288 - Procuring to Beg,249.0
2022,,360B - Sexual Exploitation of Children,25.0
2022,,288B - Trafficking Restricted Articles/Drugs,41.0
2022,,308A - Cruelty to Children,2096.0
2022,,345 - Sexual Harassment,729.0
2022,,352 - Kidnapping from Lawful Guardianship,131.0
2022,,353 - Abduction,171.0
2022,,360C - Trafficking,132.0
2022,,363 - Rape,167.0
2022,,364A - Incest,1.0
2022,,365B - Grave Sexual Abuse,185.0
2022,,"71 - CYPO: Neglect of Children, Cruelty",2005.0
2022,,Child Labor,214.0
2022,,Compulsory Education,1231.0
2022,,Domestic Violence,82.0
2022,,Juvenile Delinquency,229.0
2022,,Miscellaneous,2802.0
2022,,Total,10497.0
2023,January,353 - Abduction,19.0
2023,January,288 - Procuring to Beg,21.0
2023,January,35 - CYPO: Child or Young Person in Need of Care & Protection,159.0
2023,January,Child Labor,8.0
2023,January,Compulsory Education,120.0
2023,January,308A - Cruelty to Children,130.0
2023,January,365B - Grave Sexual Abuse,37.0
2023,January,311 - Grievous Hurt,22.0
2023,January,360B - Sexual Exploitation of Children,1.0
2023,January,360D - Offences Related to Adoption,1.0
2023,January,364A - Incest,1.0
2023,January,363 - Rape,9.0
2023,January,Juvenile Delinquency,15.0
2023,January,352 - Kidnapping from Lawful Guardianship,2.0
2023,January,360C - Trafficking,1.0
2023,January,360A - Procreation,0.0
2023,January,288B - Trafficking Restricted Articles/Drugs,5.0
2023,January,345 - Sexual Harassment,44.0
2023,January,288A - Hiring or Employing Children to Act as Procurers for Sexual Intercourse,1.0
2023,January,310 - Cause Hurt,9.0
2023,January,351 - Kidnapping from Sri Lanka,1.0
2023,January,356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person,1.0
2023,January,"71 - CYPO: Neglect of Children, Cruelty",51.0
2023,January,CYPO 20 - Prohibition of Publication of Certain Matters,1.0
2023,January,CYPO 72 - Seduction or Prostitution of Girl Under 16 Years,2.0
2023,January,76 - CYPO: Sale of Tobacco to Person Under 16 Years,1.0
2023,January,CYPO 77 - Preventing Children from Receiving Education,1.0
2023,January,286A - Obscene Publications,0.0
2023,January,"358A - Serfdom, Slavery, Child Soldiers",0.0
2023,January,365A - Gross Indecency,0.0
2023,January,286C - Duty to Inform of Use of Premises for Child Abuse,0.0
2023,January,360E - Soliciting a Child,0.0
2023,January,365C - Publication of Sexual Abuse,0.0
2023,January,CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts,0.0
2023,January,,663.0
2023,February,353 - Abduction,17.0
2023,February,288 - Procuring to Beg,32.0
2023,February,35 - CYPO: Child or Young Person in Need of Care & Protection,169.0
2023,February,Child Labor,11.0
2023,February,Compulsory Education,82.0
2023,February,308A - Cruelty to Children,149.0
2023,February,365B - Grave Sexual Abuse,27.0
2023,February,311 - Grievous Hurt,26.0
2023,February,360B - Sexual Exploitation of Children,0.0
2023,February,360D - Offences Related to Adoption,0.0
2023,February,364A - Incest,0.0
2023,February,363 - Rape,4.0
2023,February,Juvenile Delinquency,18.0
2023,February,352 - Kidnapping from Lawful Guardianship,3.0
2023,February,360C - Trafficking,2.0
2023,February,360A - Procreation,3.0
2023,February,288B - Trafficking Restricted Articles/Drugs,4.0
2023,February,345 - Sexual Harassment,32.0
2023,February,288A - Hiring or Employing Children to Act as Procurers for Sexual Intercourse,0.0
2023,February,310 - Cause Hurt,7.0
2023,February,351 - Kidnapping from Sri Lanka,1.0
2023,February,356 - Kidnapping or Abducting with Intent Secretly and Wrongfully to Confine a Person,0.0
2023,February,"71 - CYPO: Neglect of Children, Cruelty",31.0
2023,February,CYPO 20 - Prohibition of Publication of Certain Matters,0.0
2023,February,CYPO 72 - Seduction or Prostitution of Girl Under 16 Years,0.0
2023,February,76 - CYPO: Sale of Tobacco to Person Under 16 Years,0.0
2023,February,CYPO 77 - Preventing Children from Receiving Education,0.0
2023,February,286A - Obscene Publications,0.0
2023,February,"358A - Serfdom, Slavery, Child Soldiers",2.0
2023,February,365A - Gross Indecency,0.0
2023,February,286C - Duty to Inform of Use of Premises for Child Abuse,0.0
2023,February,360E - Soliciting a Child,0.0
2023,February,365C - Publication of Sexual Abuse,0.0
2023,February,CYPO 11 - Restrictions on Reports of Proceedings in Juvenile Courts,0.0
2023,February,,620.0
2023,March,353 - Abduction,27.0
2023,March,288 - Procuring to Beg,24.0
2023,March,35 - CYPO: Child or Young Person in Need of Care & Protection,294.0
2023,March,Child Labor,18.0
2023,March,Compulsory Education,184.0
2023,March,308A - Cruelty to Children,252.0
2023,March,365B - Grave Sexual Abuse,47.0
2023,March,311 - Grievous Hurt,26.0
2023,March,360B - Sexual Exploitation of Children,1.0
2023,March,360D - Offences Related to Adoption,0.0
2023,March,364A - Incest,1.0
2023,March,363 - Rape,5.0
2023,March,Juvenile Delinquency,29.0
2023,March,352 - Kidnapping from Lawful Guardianship,2.0
2023,March,360C - Trafficking,1.0
2023,March,360A - Procreation,0.0
2023,March,288B - Trafficking Restricted Articles/Drugs,1.0
2023,March,345 - Sexual Harassment,38.0
