,Year,Month,District,No of complaints
0,2017,,Ampara,208
1,2017,,Anuradhapura,441
2,2017,,Badulla,198
3,2017,,Batticaloa,179
4,2017,,Colombo,1302
5,2017,,Galle,586
6,2017,,Gampaha,974
7,2017,,Hambanthota,310
8,2017,,Jaffna,188
9,2017,,Kalutara,591
10,2017,,Kandy,382
11,2017,,Kegalle,286
12,2017,,Kilinochchi,126
13,2017,,Kurunegala,681
14,2017,,Mannar,69
15,2017,,Matale,200
16,2017,,Matara,316
17,2017,,Monaragala,226
18,2017,,Mullaitivu,132
19,2017,,Nuwara Eliya,184
20,2017,,Polonnaruwa,245
21,2017,,Puttalam,403
22,2017,,Ratnapura,518
23,2017,,Trincomalee,138
24,2017,,Vavuniya,131
25,2017,,Total,9014
26,2018,,Ampara,229
27,2018,,Anuradhapura,434
28,2018,,Badulla,237
29,2018,,Batticaloa,189
30,2018,,Colombo,1330
31,2018,,Galle,617
32,2018,,Gampaha,1066
33,2018,,Hambanthota,361
34,2018,,Jaffna,207
35,2018,,Kalutara,540
36,2018,,Kandy,420
37,2018,,Kegalle,349
38,2018,,Kilinochchi,104
39,2018,,Kurunegala,823
40,2018,,Mannar,69
41,2018,,Matale,210
42,2018,,Matara,346
43,2018,,Monaragala,224
44,2018,,Mullaitivu,98
45,2018,,Nuwara Eliya,168
46,2018,,Polonnaruwa,246
47,2018,,Puttalam,440
48,2018,,Ratnapura,537
49,2018,,Trincomalee,137
50,2018,,Vavuniya,131
51,2018,,Total,9512
52,2019,,Ampara,201
53,2019,,Anuradhapura,487
54,2019,,Badulla,224
55,2019,,Batticaloa,166
56,2019,,Colombo,1167
57,2019,,Galle,537
58,2019,,Gampaha,888
59,2019,,Hambanthota,335
60,2019,,Jaffna,175
61,2019,,Kalutara,478
62,2019,,Kandy,390
63,2019,,Kegalle,288
64,2019,,Kilinochchi,141
65,2019,,Kurunegala,726
66,2019,,Mannar,80
67,2019,,Matale,140
68,2019,,Matara,301
69,2019,,Monaragala,221
70,2019,,Mullaitivu,122
71,2019,,Nuwara Eliya,177
72,2019,,Polonnaruwa,229
73,2019,,Puttalam,375
74,2019,,Ratnapura,471
75,2019,,Trincomalee,133
76,2019,,Vavuniya,106
77,2019,,Total,8558
78,2020,,Colombo,1134
79,2020,,Gampaha,944
80,2020,,Kurunegala,627
81,2020,,Kalutara,467
82,2020,,Galle,454
83,2020,,Ratnapura,454
84,2020,,Anuradhapura,404
85,2020,,Puttalam,368
86,2020,,Hambanthota,366
87,2020,,Kandy,363
88,2020,,Matara,301
89,2020,,Kegalle,254
90,2020,,Badulla,243
91,2020,,Monaragala,226
92,2020,,Polonnaruwa,223
93,2020,,Ampara,192
94,2020,,Jaffna,174
95,2020,,Nuwara Eliya,160
96,2020,,Batticaloa,159
97,2020,,Matale,136
98,2020,,Trincomalee,120
99,2020,,Kilinochchi,119
100,2020,,Mullaitivu,118
101,2020,,Vavuniya,92
