District,Month,No of complaints
Ampara,January,20
Anuradapura,January,34
Badulla,January,16
Baticoloa,January,12
Colombo,January,112
Galle,January,42
Gampaha,January,74
Hambanthota,January,24
Jaffna,January,10
Kaluthara,January,48
Kandy,January,39
Kagalle,January,23
Kilinochchi,January,2
Kurunagala,January,47
Mannar,January,1
Matale,January,15
Matara,January,39
Monaragala,January,12
Mulathivu,January,6
NuwaraEliya,January,9
Polonnaruwa,January,17
Puttalama,January,34
Rathnapura,January,43
Trncomali,January,13
Vavuniya,January,6
Unknown,January,63
,January,761
Ampara,February,17
Anuradapura,February,47
Badulla,February,21
Baticoloa,February,15
Colombo,February,100
Galle,February,29
Gampaha,February,73
Hambanthota,February,30
Jaffna,February,13
Kaluthara,February,32
Kandy,February,24
Kagalle,February,32
Kilinochchi,February,3
Kurunagala,February,56
Mannar,February,3
Matale,February,14
Matara,February,15
Monaragala,February,23
Mulathivu,February,5
NuwaraEliya,February,12
Polonnaruwa,February,18
Puttalama,February,30
Rathnapura,February,44
Trncomali,February,13
Vavuniya,February,6
Unknown,February,28
,February,703
Ampara,March,22
Anuradapura,March,59
Badulla,March,28
Baticoloa,March,15
Colombo,March,143
Galle,March,54
Gampaha,March,92
Hambanthota,March,40
Jaffna,March,6
Kaluthara,March,70
Kandy,March,53
Kagalle,March,29
Kilinochchi,March,6
Kurunagala,March,96
Mannar,March,8
Matale,March,25
Matara,March,25
Monaragala,March,37
Mulathivu,March,8
NuwaraEliya,March,23
Polonnaruwa,March,28
Puttalama,March,34
Rathnapura,March,67
Trncomali,March,6
Vavuniya,March,6
Unknown,March,46
,March,1026
Ampara,April,11
Anuradapura,April,32
Badulla,April,16
Baticoloa,April,12
Colombo,April,75
Galle,April,30
Gampaha,April,54
Hambanthota,April,16
Jaffna,April,7
Kaluthara,April,28
Kandy,April,33
Kagalle,April,15
Kilinochchi,April,4
Kurunagala,April,47
Mannar,April,4
Matale,April,10
Matara,April,17
Monaragala,April,20
Mulathivu,April,3
NuwaraEliya,April,10
Polonnaruwa,April,26
Puttalama,April,30
Rathnapura,April,50
Trncomali,April,13
Vavuniya,April,6
Unknown,April,25
,April,594
Ampara,May,21
Anuradapura,May,50
Badulla,May,23
Baticoloa,May,14
Colombo,May,111
Galle,May,50
Gampaha,May,96
Hambanthota,May,36
Jaffna,May,18
Kaluthara,May,51
Kandy,May,37
Kagalle,May,24
Kilinochchi,May,4
Kurunagala,May,74
Mannar,May,4
Matale,May,16
Matara,May,28
Monaragala,May,24
Mulathivu,May,7
NuwaraEliya,May,15
Polonnaruwa,May,33
Puttalama,May,43
Rathnapura,May,51
Trncomali,May,11
Vavuniya,May,12
Unknown,May,45
,May,898
Ampara,June,22
Anuradapura,June,53
Badulla,June,18
Baticoloa,June,24
Colombo,June,112
Galle,June,38
Gampaha,June,90
Hambanthota,June,34
Jaffna,June,14
Kaluthara,June,51
Kandy,June,38
Kagalle,June,13
Kilinochchi,June,8
Kurunagala,June,76
Mannar,June,2
Matale,June,16
Matara,June,28
Monaragala,June,18
Mulathivu,June,9
NuwaraEliya,June,24
Polonnaruwa,June,28
Puttalama,June,28
Rathnapura,June,57
Trncomali,June,8
Vavuniya,June,3
Unknown,June,48
,June,860
Ampara,July,16
Anuradapura,July,44
Badulla,July,22
Baticoloa,July,12
Colombo,July,97
Galle,July,62
Gampaha,July,79
Hambanthota,July,43
Jaffna,July,13
Kaluthara,July,36
Kandy,July,36
Kagalle,July,25
Kilinochchi,July,4
Kurunagala,July,69
Mannar,July,4
Matale,July,16
Matara,July,34
Monaragala,July,33
Mulathivu,July,6
NuwaraEliya,July,20
Polonnaruwa,July,25
Puttalama,July,48
Rathnapura,July,50
Trncomali,July,15
Vavuniya,July,3
Unknown,July,26
,July,838
Ampara,August,13
Anuradapura,August,46
Badulla,August,18
Baticoloa,August,12
Colombo,August,78
Galle,August,42
Gampaha,August,68
Hambanthota,August,31
Jaffna,August,5
Kaluthara,August,54
Kandy,August,28
