No,Type of Abuse,January,February,March,April,May,June,July,August,September,October,November,December,Total
1,353 - Abduction,19,17,27,16,20,21,16,11,14,10,24,22,217
2,288 - Begging,21,32,24,17,36,38,28,21,25,30,27,24,323
3,CYPO 35 - in need of Care & Protection,159,169,294,140,246,213,225,204,185,224,208,259,2526
4,Child Labor,8,11,18,9,23,17,19,14,15,15,19,13,181
5,Compulsory Education,120,82,184,100,161,196,209,147,183,181,202,157,1922
6,308A - Cruelty,130,149,252,142,220,197,202,185,170,182,217,192,2238
7,365B - Grave Sexual Abuse,37,27,47,22,31,40,37,31,24,31,39,37,403
8,311 - Grievous Hurt,22,26,26,21,23,22,23,18,19,28,21,17,266
9,360 B - Sexual Exploitation,1,0,1,1,2,1,0,0,1,1,0,0,8
10,360D - Offences related to Adoption,1,0,0,0,0,0,2,0,0,0,0,0,3
11,364A - Incest,1,0,1,0,1,0,2,0,1,1,0,0,7
12,363 - Rape,9,4,5,3,5,4,7,1,5,1,3,3,50
13,Juvenile Delinqency,15,18,29,32,35,34,34,33,12,25,27,16,310
14,352 - Kidnapping from lawful guardianship,2,3,2,5,7,4,3,7,8,6,1,10,58
15,360C - Trafficking,1,2,1,3,2,4,5,2,5,1,5,1,32
16,360A - Procreation,0,3,0,0,2,1,1,2,1,2,3,5,20
17,288B - Restricted Articles/Drugs,5,4,1,2,0,3,2,3,0,2,1,4,27
18,345 - Sexual Harassment,44,32,38,22,52,42,46,30,33,43,39,48,469
19,"288A - Hiring or employing children to act as procures
for sexual intercourse.",1,0,1,0,2,0,1,0,0,0,1,3,9
20,310 - Cause hurt,9,7,29,17,16,23,19,7,15,6,7,11,166
21,351 - Kidnapping from Sri Lanka,1,1,0,0,1,0,0,1,0,0,0,0,4
22,"356 - Kidnapping or abducting with intent secretly
and wrongfully to confine a person",1,0,2,0,1,5,0,0,1,0,1,0,11
23,"CYPO 71 – Neglect of children,Crualty",51,31,79,21,23,19,17,8,34,47,32,21,383
24,"CYPO 20 – Prohibition of publication of certain
matters",1,0,0,0,0,0,0,0,0,0,0,0,1
25,CYPO 72- seduction or prostitution of girl under 16y,2,0,1,0,0,2,0,1,2,0,0,1,9
26,CYPO 76 - sale of tobacco to person under 16 years,1,0,1,0,0,0,1,0,0,0,1,0,4
27,"CYPO 77 - preventing children from receiving
education",1,0,0,2,1,2,0,0,0,2,0,0,8
28,286 - A- Obscene Publications,0,0,1,0,0,0,0,2,0,0,1,2,6
