Type of abuse,No of complaints
14. ACO -  Restriction on payment,1
286A. Obscene publication,8
288. Procuring to beg,312
288B. Trafficking Restricted Articles,28
308A. Cruelty to Children,2144
345. Sexual Harassment,501
352. Kidnapping from lawful guardianship,145
353. Abduction,42
360C. Trafficking,116
360E. Soliciting a child,10
363. Rape,340
364A. Incest,1
365. Unnatural Offence,1
365A. Gross Indecency,5
365B. Grave sexual abuse,309
71. CYPO -  Neglect of Children,390
76. CYPO -  Sale of tobacco,3
Child Labor,269
Compulsory Education,1324
Domestic Violence,80
Juvenile Delinquency,492
MISC.,2493
Total,9014
