Type of abuse,No of complaints
27A. ACO - Unlawful Custody,2
286A. Obscene publication,15
288. Procuring to beg,315
288B. Trafficking Restricted Articles,40
308. Exposure and Abandonment,3
308A. Cruelty to Children,2413
345. Sexual Harassment,555
352. Kidnapping from lawful guardianship,120
353. Abduction,45
360B. Sexual Exploitation of Children,4
360C. Trafficking,125
360E. Soliciting a child,15
363. Rape,311
364A. Incest,1
365. Unnatural Offence,1
365A. Gross Indecency,7
365B. Grave sexual abuse,375
71. CYPO -  Neglect of Children,536
Child Labor,262
Compulsory Education,1267
Domestic Violence,104
Juvenile Delinquency,374
MISC.,2622
Total,9512
