,Type of abuse,,,No of complaints,
,286A. Obscene publication,,,10,
288. Procuring to beg,,,240,,
360B Sexual Exploitation of children,,,8,,
288B. Trafficking Restricted Articles,,,44,,
308A. Cruelty to Children,,,2741,,
345. Sexual Harassment,,,947,,
352. Kidnapping from lawful guardianship,,,99,,
353. Abduction,,,354,,
360C. Trafficking,,,124,,
363. Rape,,,123,,
364A. Incest,,,8,,
365B. Grave sexual abuse,,,246,,
71. CYPO - Neglect of Children,,,1535,,
Child Labour,,,375,,
Compulsory Education,,,541,,
Domestic Violence,,,97,,
Juvenile Delinquency,,,263,,
MISC.,,,3432,,
Total,,,11187,,
