,Type of abuse,Month,No of complaints
0,353 - Abduction,January,19
1,288 - Begging,January,21
2,CYPO 35 - in need of Care & Protection,January,159
3,Child Labor,January,8
4,Compulsory Education,January,120
5,308A - Cruelty,January,130
6,365B - Grave Sexual Abuse,January,37
7,311 - Grievous Hurt,January,22
8,360 B - Sexual Exploitation,January,1
9,360D - Offences related to Adoption,January,1
10,364A - Incest,January,1
11,363 - Rape,January,9
12,Juvenile Delinqency,January,15
13,352 - Kidnapping from lawful guardianship,January,2
14,360C - Trafficking,January,1
15,360A - Procreation,January,0
16,288B - Restricted Articles/Drugs,January,5
17,345 - Sexual Harassment,January,44
18,"288A - Hiring or employing children to act as procures
for sexual intercourse.",January,1
19,310 - Cause hurt,January,9
20,351 - Kidnapping from Sri Lanka,January,1
21,"356 - Kidnapping or abducting with intent secretly
and wrongfully to confine a person",January,1
22,"CYPO 71 – Neglect of children,Crualty",January,51
23,"CYPO 20 – Prohibition of publication of certain
matters",January,1
24,CYPO 72- seduction or prostitution of girl under 16y,January,2
25,CYPO 76 - sale of tobacco to person under 16 years,January,1
26,"CYPO 77 - preventing children from receiving
education",January,1
27,286 - A- Obscene Publications,January,0
28,"358A – Serfdom, Slavery, Child Soldiers",January,0
29,365 A - Gross Indecency,January,0
30,"286 - C- Duty to inform of use of premises for
child abuse",January,0
31,360E – Soliciting a Child,January,0
32,365 C - Publication of Sexuel Abuse,January,0
33,"CYPO 11 - Restrictions on reports of proseedings in
juvenile courts",January,0
34,,January,663
35,353 - Abduction,February,17
36,288 - Begging,February,32
37,CYPO 35 - in need of Care & Protection,February,169
38,Child Labor,February,11
39,Compulsory Education,February,82
40,308A - Cruelty,February,149
41,365B - Grave Sexual Abuse,February,27
42,311 - Grievous Hurt,February,26
43,360 B - Sexual Exploitation,February,0
44,360D - Offences related to Adoption,February,0
45,364A - Incest,February,0
46,363 - Rape,February,4
47,Juvenile Delinqency,February,18
48,352 - Kidnapping from lawful guardianship,February,3
49,360C - Trafficking,February,2
50,360A - Procreation,February,3
51,288B - Restricted Articles/Drugs,February,4
52,345 - Sexual Harassment,February,32
53,"288A - Hiring or employing children to act as procures
for sexual intercourse.",February,0
54,310 - Cause hurt,February,7
55,351 - Kidnapping from Sri Lanka,February,1
56,"356 - Kidnapping or abducting with intent secretly
and wrongfully to confine a person",February,0
57,"CYPO 71 – Neglect of children,Crualty",February,31
58,"CYPO 20 – Prohibition of publication of certain
matters",February,0
59,CYPO 72- seduction or prostitution of girl under 16y,February,0
60,CYPO 76 - sale of tobacco to person under 16 years,February,0
61,"CYPO 77 - preventing children from receiving
education",February,0
62,286 - A- Obscene Publications,February,0
63,"358A – Serfdom, Slavery, Child Soldiers",February,2
64,365 A - Gross Indecency,February,0
65,"286 - C- Duty to inform of use of premises for
child abuse",February,0
66,360E – Soliciting a Child,February,0
67,365 C - Publication of Sexuel Abuse,February,0
68,"CYPO 11 - Restrictions on reports of proseedings in
juvenile courts",February,0
69,,February,620
70,353 - Abduction,March,27
71,288 - Begging,March,24
72,CYPO 35 - in need of Care & Protection,March,294
73,Child Labor,March,18
74,Compulsory Education,March,184
75,308A - Cruelty,March,252
76,365B - Grave Sexual Abuse,March,47
77,311 - Grievous Hurt,March,26
78,360 B - Sexual Exploitation,March,1
79,360D - Offences related to Adoption,March,0
80,364A - Incest,March,1
81,363 - Rape,March,5
82,Juvenile Delinqency,March,29
83,352 - Kidnapping from lawful guardianship,March,2
84,360C - Trafficking,March,1
85,360A - Procreation,March,0
86,288B - Restricted Articles/Drugs,March,1
87,345 - Sexual Harassment,March,38
88,"288A - Hiring or employing children to act as procures
for sexual intercourse.",March,1
89,310 - Cause hurt,March,29
90,351 - Kidnapping from Sri Lanka,March,0
91,"356 - Kidnapping or abducting with intent secretly
and wrongfully to confine a person",March,2
92,"CYPO 71 – Neglect of children,Crualty",March,79
93,"CYPO 20 – Prohibition of publication of certain
matters",March,0
94,CYPO 72- seduction or prostitution of girl under 16y,March,1
95,CYPO 76 - sale of tobacco to person under 16 years,March,1
96,"CYPO 77 - preventing children from receiving
education",March,0
97,286 - A- Obscene Publications,March,1
98,"358A – Serfdom, Slavery, Child Soldiers",March,2
99,365 A - Gross Indecency,March,1
100,"286 - C- Duty to inform of use of premises for
child abuse",March,1
101,360E – Soliciting a Child,March,0
102,365 C - Publication of Sexuel Abuse,March,0
103,"CYPO 11 - Restrictions on reports of proseedings in
juvenile courts",March,0
104,,March,1068
105,353 - Abduction,April,16
106,288 - Begging,April,17
107,CYPO 35 - in need of Care & Protection,April,140
108,Child Labor,April,9
