No,Type of Abuse,January,February,March,April,May,June,July,August,September,October,November,December,Total
1,Child Marriages,4,4,3,1,7,6,0,3,5,2,1,3,39
2,Cyber Bulling (threatening using nude photos),12,11,12,10,17,15,14,16,11,12,10,10,150
3,Domestic Violence,9,4,6,2,5,6,4,1,2,3,2,2,46
4,other (specify),63,76,65,60,65,57,65,54,46,48,49,43,691
5,Abortion,1,0,0,1,0,0,0,1,0,0,0,0,3
6,Attempt to commit suicide,2,0,2,1,1,1,1,3,1,3,2,8,25
7,Need Counseling/psycho-social support,17,27,41,19,41,35,36,32,37,45,63,61,454
8,Access for children,1,0,1,0,0,0,0,0,0,0,0,0,2
9,Drug Abuse,9,7,5,8,12,11,14,14,6,10,16,13,125
10,"Inability to send to school due to financial or other
reasons",1,1,2,1,0,3,0,0,1,1,0,0,10
11,Migration Leaving Behind Bellow 5 Year old Children,1,1,0,0,0,0,0,0,1,0,0,0,3
12,Misbehavior,1,4,5,1,4,3,2,0,3,2,0,1,26
13,online education issues,1,0,0,0,0,0,0,0,0,0,0,0,1
14,Request Educational support,1,4,0,0,1,3,2,0,1,0,1,0,13
15,Teenage Pregnancy,1,1,5,2,2,5,4,5,7,6,9,6,53
16,Violent Behavior,1,2,9,2,4,3,0,0,3,0,2,1,27
17,No Birth Certificates,0,2,7,1,4,7,3,1,3,4,3,2,37
18,Refuse to go to school,0,0,1,0,2,1,0,0,1,0,1,0,6
19,Police Assult and detention,0,0,0,0,0,0,0,2,0,0,1,0,3
Total,,125,144,164,109,165,156,145,132,128,136,160,150,1714
